trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9975510002532796}",30,0,-96.87490273793169,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-37.446835039194426,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9780309147241483}",25,0,-102.85808020968224,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9610554383107709}",35,8,-106.72064893247739,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9393727128473789}",30,0,-113.64232255458504,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9130889403123083}",30,0,-175.09121920643923,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8823328586101215}",20,0,-119.24679994606295,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8472551110134161}",20,0,-25.65879345732532,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.8080275083121518}",35,0,-71.46962560431723,"{0: 26, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.7648421872844884}",30,8,-96.83090232864784,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.7179106696109434}",20,0,-38.918951204843395,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.6674628258413081}",30,0,-121.36506377289192,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.6137457494888114}",30,22,2.800120103541298,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.5570225467662173}",30,0,-42.49748760706584,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.497571047891727}",20,0,2.8954108999595647,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.43568244627671204}",20,0,-11.551943104576823,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.37165987226053276}",30,5,-96.94526440737455,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.3058169083782891}",30,5,11.313777274087325,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.23847605343372313}",30,3,-1.9023306398636535,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.16996714290024081}",25,7,4.095917824327786,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.1006257333869315}",20,5,26.280230809080955,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.030791459082466124}",25,10,24.280022257863706,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,22,-14.805964799156383,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,8,38.32322243725107,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,1.8357913404518975,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,10.433766144334433,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,20.535268424033983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,9.061990126053772,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,19,20.8264952916743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,1,5.722610708366313,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,8,26.992708383017494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,13.587820821211144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
