trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-180.22639926628594,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-76.28806935262331,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9982005399352042}",25,0,-133.40016335820192,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-145.1210180757465,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9950041652780257}",20,0,-183.30006461380546,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,0,-5.147211343442991,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9902159962126371}",25,0,-185.5914483615537,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-135.00972843095607,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-150.5539090420136,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,4,-31.48948461784028,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,0,-68.78695210264453,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9713379748520297}",25,0,-113.72324393320783,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-68.61595512882369,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,2,-110.65713516206237,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-107.30672328759319,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-68.03716777426683,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-48.295847252626146,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,0,-87.76651600286516,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-72.73036659445887,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-69.54201173707547,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-133.04890607699824,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9047516632199635}",20,0,-54.12237499050357,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8960524975255253}",20,0,-61.10479148878031,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,-55.02377225069591,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-94.40838687428338,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8678191796776499}",30,7,-63.208057757812725,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-81.64432168492071,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8472551110134161}",25,0,-119.42986091566762,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8364626499151869}",30,0,-80.70158240952972,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,4,-84.17279463801276,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.8138784566625339}",25,0,-157.55069106626448,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8020957578842927}",25,8,-26.930775190615382,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7899922314973651}",20,4,-20.682965046676394,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
