trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,3,-86.88060782831994,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,5,-90.77471208998806,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-114.94744282470748,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-137.13817445947186,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-85.9750785616119,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-67.49702156923546,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-93.74331101057253,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,3,-98.09326344836049,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-58.500361983878214,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,13,-12.232442061593694,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-179.90971698654954,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-117.58812630147362,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-224.68463176272286,"{0: 18, 1: 3, 2: 11, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-64.12521729454589,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-54.516722714500496,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-46.52142185950072,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-62.06246257178218,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-44.99698606984243,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-143.621292035091,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-78.50756987850036,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-183.08942427820975,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-152.00776414529523,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-147.66386163766552,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-114.06214672086482,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-93.51162045881844,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-138.09582662891313,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,12,-134.88886227989693,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 3}",1
8,True,"{'a': 0, 'e': 0}",25,0,-129.26301396978937,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-173.74430781938818,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",30,1,-34.35740547297072,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 0}",1
